replicate,NumDays,treatment,predict_spec,mean.dens.ml
2,3,C+D+Pd,Colp,189.07165311653117
2,3,C+D+Pd,Dexio,341.4991869918699
2,3,C+D+Pd,Noise,36.70369359611961
2,3,C+D+Pd,Spath,74.78258736271573
2,3,C+D+S,Colp,278.52531165311655
2,3,C+D+S,Dexio,173.24379403794038
2,3,C+D+S,Spiro,43.62900491794896
2,3,C+D+S+Pd,Colp,124.71002710027099
2,3,C+D+S+Pd,Dexio,241.5136890528569
2,3,C+D+S+Pd,Noise,13.84
2,3,C+D+S+Pd,Spath,34.28645386563563
2,3,C+D+S+Pd,Spiro,34.34012806889256
2,5,C+D,Colp,277.9627100271003
2,5,C+D,Dexio,418.0130081300813
2,5,C+D+P,Colp,148.45181571815718
2,5,C+D+P,Dexio,267.3107859078591
2,5,C+D+P,Para,320.19533875338755
2,5,C+D+P+Pd,Colp,193.009864498645
2,5,C+D+P+Pd,Dexio,291.721266744096
2,5,C+D+P+Pd,Spath,81.17987453844476
2,5,C+D+P+Pd,Para,117.77127371273713
2,5,C+D+Pd,Colp,239.93084010840107
2,5,C+D+Pd,Dexio,536.4594037940379
2,5,C+D+Pd,Noise,57.18618610790506
2,5,C+D+Pd,Spath,86.4531165311653
2,5,C+D+S,Colp,304.930081300813
2,5,C+D+S,Dexio,333.3227100271003
2,5,C+D+S,Spiro,59.03566395663957
2,5,C+D+S+Pd,Colp,146.5389701897019
2,5,C+D+S+Pd,Dexio,247.2821680216802
2,5,C+D+S+Pd,Spath,46.70101302674232
2,5,C+D+S+Pd,Spiro,31.67896615825662
2,7,C+D,Colp,218.88953929539295
2,7,C+D,Dexio,269.3361517615176
2,7,C+D+P,Colp,192.59728997289972
2,7,C+D+P,Dexio,422.0262330623306
2,7,C+D+P,Para,441.1546883468835
2,7,C+D+P+Pd,Colp,199.49853658536585
2,7,C+D+P+Pd,Dexio,481.84953929539296
2,7,C+D+P+Pd,Noise,16.28235294117647
2,7,C+D+P+Pd,Spath,127.52303523035229
2,7,C+D+P+Pd,Para,269.5986991869919
2,7,C+D+Pd,Colp,133.2990785907859
2,7,C+D+Pd,Dexio,303.3547967479675
2,7,C+D+Pd,Noise,19.199607843137255
2,7,C+D+Pd,Spath,51.266002552238824
2,7,C+D+S,Colp,239.66829268292682
2,7,C+D+S,Dexio,272.2616802168022
2,7,C+D+S,Spiro,37.50022554468919
2,7,C+D+S+Pd,Colp,155.5030894308943
2,7,C+D+S+Pd,Dexio,291.20260162601625
2,7,C+D+S+Pd,Noise,15.817142857142857
2,7,C+D+S+Pd,Spath,50.91544715447154
2,7,C+D+S+Pd,Spiro,32.359616858237544
2,9,C+D,Colp,285.65159891598915
2,9,C+D,Dexio,392.09582655826557
2,9,C+D+P,Colp,109.36975609756097
2,9,C+D+P,Dexio,292.1027642276423
2,9,C+D+P,Para,312.01886178861787
2,9,C+D+P+Pd,Colp,193.46956292127024
2,9,C+D+P+Pd,Dexio,304.8868042526579
2,9,C+D+P+Pd,Noise,13.84
2,9,C+D+P+Pd,Spath,48.504708585119964
2,9,C+D+P+Pd,Para,217.27765174519214
2,9,C+D+Pd,Colp,173.58135501355014
2,9,C+D+Pd,Dexio,321.3955555555556
2,9,C+D+Pd,Noise,26.272043850891308
2,9,C+D+Pd,Spath,40.78400419853051
2,9,C+D+S,Colp,234.56737127371275
2,9,C+D+S,Dexio,299.49159891598913
2,9,C+D+S,Spiro,57.476807991220404
2,9,C+D+S+Pd,Colp,108.4483632458966
2,9,C+D+S+Pd,Dexio,172.79371273712735
2,9,C+D+S+Pd,Noise,13.84
2,9,C+D+S+Pd,Spath,27.525805480277025
2,9,C+D+S+Pd,Spiro,23.21628828828829
2,11,C+D,Colp,138.13745257452575
2,11,C+D,Dexio,332.3850406504065
2,11,C+D+P,Colp,101.05278244257852
2,11,C+D+P,Dexio,108.88216802168022
2,11,C+D+P,Para,425.4768563685637
2,11,C+D+P+Pd,Colp,99.4248081292606
2,11,C+D+P+Pd,Dexio,66.45912028351053
2,11,C+D+P+Pd,Spath,53.40082257293161
2,11,C+D+P+Pd,Para,76.28878048780487
2,11,C+D+Pd,Colp,13.84
2,11,C+D+Pd,Dexio,17.75526315789474
2,11,C+D+Pd,Spath,19.761923076923075
2,11,C+D+S,Colp,255.0460704607046
2,11,C+D+S,Dexio,119.72162601626016
2,11,C+D+S,Spiro,48.39720380793551
2,11,C+D+S+Pd,Colp,13.84
2,11,C+D+S+Pd,Dexio,18.114117647058823
2,11,C+D+S+Pd,Noise,27.68
2,11,C+D+S+Pd,Spath,20.197398373983738
2,13,C+D,Colp,189.70926829268294
2,13,C+D,Dexio,292.25279132791326
2,13,C+D+P,Colp,155.4280758807588
2,13,C+D+P,Dexio,78.53918699186991
2,13,C+D+P,Para,320.45788617886177
2,13,C+D+P+Pd,Colp,19.105217391304347
2,13,C+D+P+Pd,Dexio,65.15954659161976
2,13,C+D+P+Pd,Noise,13.84
2,13,C+D+P+Pd,Spath,51.04062601626016
2,13,C+D+P+Pd,Para,37.35674796747968
2,13,C+D+Pd,Noise,14.993333333333332
2,13,C+D+Pd,Spath,16.0544
2,13,C+D+S,Colp,255.3461246612466
2,13,C+D+S,Dexio,131.12368563685638
2,13,C+D+S,Spiro,62.59880758807588
2,13,C+D+S+Pd,Colp,13.84
2,13,C+D+S+Pd,Noise,21.24279069767442
2,13,C+D+S+Pd,Spath,21.32663768115942
2,13,C+D+S+Pd,Spiro,21.254719645788008
2,15,C+D,Colp,232.95457994579945
2,15,C+D,Dexio,264.64780487804876
2,15,C+D+P,Colp,114.02059620596205
2,15,C+D+P,Dexio,82.35282229965156
2,15,C+D+P,Para,297.69127371273714
2,15,C+D+P+Pd,Spath,30.005420054200542
2,15,C+D+P+Pd,Para,18.081290322580646
2,15,C+D+Pd,Noise,25.394495412844037
2,15,C+D+Pd,Spath,25.241795488377416
2,15,C+D+S,Colp,210.82558265582654
2,15,C+D+S,Dexio,217.76433604336043
2,15,C+D+S,Spiro,42.90775067750677
